Component1_fr_methoxy,Component1_MolLogP,Component2_Kappa3,Component2_FpDensityMorgan3,Component1_EState_VSA6,Component2_SMR_VSA1,Component1_PEOE_VSA8,Component1_Hfus,Component1_Tm,Component1_Chi0v,Component1_Kappa1,Component2_qed,Component1_BCUT2D_MWLOW,Component1_FpDensityMorgan1,Component2_Hfus,Component2_Tm
0,-0.4543,9.510489164,1.625,0.0,21.99659141,0.0,23100.0,407.5,3.418030553,5.94,0.397592531,10.45575022,1.142857143,4300.0,597.0
0,-0.0642,9.510489164,1.625,0.0,21.99659141,0.0,34000.0,455.2,4.125137334,6.94,0.397592531,10.31427388,1.0,4300.0,597.0
0,-0.9367,9.510489164,1.625,0.0,21.99659141,0.0,19300.0,350.8,2.509782263,4.43,0.397592531,10.7712312,1.8,4300.0,597.0
0,-0.8444,9.510489164,1.625,0.0,21.99659141,0.0,18580.0,462.4,2.710923772,4.94,0.397592531,10.72706773,1.0,4300.0,597.0
0,0.3259,9.510489164,1.625,0.0,21.99659141,12.84164325,20700.0,370.9,4.832244115,7.94,0.397592531,10.23110658,1.0,4300.0,597.0
0,5.5523,9.510489164,1.625,0.0,21.99659141,6.420821623,51020.0,336.8,12.25495682,17.47,0.397592531,10.04473192,0.666666667,4300.0,597.0
0,6.3325,9.510489164,1.625,0.0,21.99659141,6.420821623,61360.0,344.04,13.66917038,19.47,0.397592531,10.03832299,0.6,4300.0,597.0
0,4.6798,9.510489164,1.625,0.0,21.99659141,6.606881965,45810.0,311.7,10.63960175,14.96,0.397592531,10.05452583,0.533333333,4300.0,597.0
0,5.46,9.510489164,1.625,0.0,21.99659141,6.606881965,60960.0,324.4,12.05381531,16.96,0.397592531,10.04523624,0.470588235,4300.0,597.0
0,6.2402,9.510489164,1.625,0.0,21.99659141,6.606881965,65350.0,332.9,13.46802888,18.96,0.397592531,10.03868695,0.421052632,4300.0,597.0
0,-1.0934,9.510489164,1.625,0.0,21.99659141,0.0,33522.0,404.3,4.442594418,7.9,0.397592531,10.25333109,1.333333333,4300.0,597.0
0,-2.1226,9.510489164,1.625,0.0,21.99659141,0.0,36310.0,443.3,4.760051501,8.86,0.397592531,10.19711243,0.9,4300.0,597.0
0,-0.5482,9.510489164,1.625,0.0,21.99659141,0.0,11340.0,289.95,3.380025751,5.43,0.397592531,10.4339672,1.833333333,4300.0,597.0
0,2.4395,9.510489164,1.625,0.0,21.99659141,0.0,13740.0,314.6,7.877935016,9.051240876,0.397592531,9.754711402,1.272727273,4300.0,597.0
0,-0.9762,9.510489164,1.625,0.0,21.99659141,0.0,14790.0,406.5,2.062948829,3.27,0.397592531,11.19589811,1.5,4300.0,597.0
0,-1.029,9.510489164,1.625,0.0,21.99659141,0.0,9960.0,260.6,2.308640753,3.92,0.397592531,10.81832367,1.0,4300.0,597.0
0,-1.6681,9.510489164,1.625,0.0,21.99659141,0.0,18300.0,291.2,3.333204618,5.88,0.397592531,10.41839259,1.166666667,4300.0,597.0
0,1.3101,9.510489164,1.625,12.13273414,21.99659141,6.9237372,29800.0,414.0,6.981359544,9.249605735,0.397592531,10.18228238,1.307692308,4300.0,597.0
0,3.0732,9.510489164,1.625,6.9237372,21.99659141,0.0,39500.0,350.4,9.526670282,11.76304602,0.397592531,9.968471761,1.2,4300.0,597.0
0,1.0904,9.510489164,1.625,12.13273414,21.99659141,0.0,26100.0,431.0,5.112076558,6.60778563,0.397592531,10.18750536,1.3,4300.0,597.0
0,3.2117,718.25,0.833333333,0.0,16.89006402,6.420821623,27500.0,304.8,8.012316135,11.47,0.297843772,10.0883172,1.0,20490.0,612.87
0,3.9919,718.25,0.833333333,0.0,16.89006402,6.420821623,34690.0,317.5,9.426529698,13.47,0.297843772,10.06722392,0.857142857,20490.0,612.87
0,4.7721,718.25,0.833333333,0.0,16.89006402,6.420821623,45750.0,327.0,10.84074326,15.47,0.297843772,10.05379892,0.75,20490.0,612.87
0,5.5523,718.25,0.833333333,0.0,16.89006402,6.420821623,51020.0,336.8,12.25495682,17.47,0.297843772,10.04473192,0.666666667,20490.0,612.87
0,6.3325,718.25,0.833333333,0.0,16.89006402,6.420821623,61360.0,344.04,13.66917038,19.47,0.297843772,10.03832299,0.6,20490.0,612.87
0,-0.0642,3.018891864,0.9,0.0,21.46448171,0.0,34000.0,455.2,4.125137334,6.94,0.515946906,10.31427388,1.0,13900.0,633.0
0,0.3259,3.018891864,0.9,0.0,21.46448171,12.84164325,20700.0,370.9,4.832244115,7.94,0.515946906,10.23110658,1.0,13900.0,633.0
0,0.716,3.018891864,0.9,0.0,21.46448171,12.84164325,37400.0,426.2,5.539350897,8.94,0.515946906,10.1780733,0.9,13900.0,633.0
0,1.1061,3.018891864,0.9,0.0,21.46448171,12.84164325,26100.0,378.5,6.246457678,9.94,0.515946906,10.14219252,0.818181818,13900.0,633.0
0,0.716,6.023775848,0.928571429,0.0,21.46448171,12.84164325,37400.0,426.2,5.539350897,8.94,0.559553097,10.1780733,0.9,7300.0,583.0
0,1.1061,6.023775848,0.928571429,0.0,21.46448171,12.84164325,26100.0,378.5,6.246457678,9.94,0.559553097,10.14219252,0.818181818,7300.0,583.0
0,-0.0642,12.93215822,0.818181818,0.0,21.46448171,0.0,34000.0,455.2,4.125137334,6.94,0.284558192,10.31427388,1.0,40100.0,375.9
0,1.1061,12.93215822,0.818181818,0.0,21.46448171,12.84164325,26100.0,378.5,6.246457678,9.94,0.284558192,10.14219252,0.818181818,40100.0,375.9
0,-2.3072,6.023775848,0.928571429,0.0,21.46448171,0.0,39300.0,394.7,4.357768483,7.84,0.559553097,10.22083479,0.875,7300.0,583.0
0,-2.3072,12.93215822,0.818181818,0.0,21.46448171,0.0,39300.0,394.7,4.357768483,7.84,0.284558192,10.22083479,0.875,40100.0,375.9
0,4.7721,9.216011279,0.888888889,0.0,16.89006402,6.420821623,45750.0,327.0,10.84074326,15.47,0.478944631,10.05379892,0.75,19430.0,342.82
0,5.5523,9.216011279,0.888888889,0.0,16.89006402,6.420821623,51020.0,336.8,12.25495682,17.47,0.478944631,10.04473192,0.666666667,19430.0,342.82
0,6.3325,9.216011279,0.888888889,0.0,16.89006402,6.420821623,61360.0,344.04,13.66917038,19.47,0.478944631,10.03832299,0.6,19430.0,342.82
0,4.6798,9.216011279,0.888888889,0.0,16.89006402,6.606881965,45810.0,311.7,10.63960175,14.96,0.478944631,10.05452583,0.533333333,19430.0,342.82
0,5.46,9.216011279,0.888888889,0.0,16.89006402,6.606881965,60960.0,324.4,12.05381531,16.96,0.478944631,10.04523624,0.470588235,19430.0,342.82
0,6.2402,9.216011279,0.888888889,0.0,16.89006402,6.606881965,65350.0,332.9,13.46802888,18.96,0.478944631,10.03868695,0.421052632,19430.0,342.82
0,4.6798,718.25,0.833333333,0.0,16.89006402,6.606881965,45810.0,311.7,10.63960175,14.96,0.297843772,10.05452583,0.533333333,20490.0,612.87
0,5.46,718.25,0.833333333,0.0,16.89006402,6.606881965,60960.0,324.4,12.05381531,16.96,0.297843772,10.04523624,0.470588235,20490.0,612.87
0,6.2402,718.25,0.833333333,0.0,16.89006402,6.606881965,65350.0,332.9,13.46802888,18.96,0.297843772,10.03868695,0.421052632,20490.0,612.87
0,1.793,9.510489164,1.625,12.13273414,21.99659141,11.45259128,18630.0,342.3,5.780598196,6.160248408,0.397592531,10.22605037,1.0,4300.0,597.0
0,2.82402,9.510489164,1.625,6.066367068,21.99659141,0.0,17570.0,324.65,7.256614672,8.119800399,0.397592531,10.00823837,1.272727273,4300.0,597.0
0,2.82402,9.510489164,1.625,6.066367068,21.99659141,0.0,17570.0,324.65,7.256614672,8.119800399,0.397592531,10.00823837,1.272727273,4300.0,597.0
0,0.4097,9.510489164,1.625,18.72100722,21.99659141,12.39368714,13100.0,359.3,2.679264403,2.447529691,0.397592531,10.9750862,1.6,4300.0,597.0
0,0.4097,9.380686502,0.888888889,18.72100722,21.46448171,12.39368714,13100.0,359.3,2.679264403,2.447529691,0.482309877,10.9750862,1.6,10000.0,390.8
0,0.81376,9.216011279,0.888888889,0.0,16.89006402,12.84164325,3700.0,327.65,3.308640753,4.98,0.478944631,10.36758998,1.0,19430.0,342.82
0,0.034,56.25,1.75,0.0,18.14070064,0.0,27610.0,351.42,3.119491979,6.26,0.310448474,10.63718337,1.428571429,5500.0,381.15
0,-0.5084,56.25,1.75,0.0,18.14070064,6.9237372,15500.0,354.15,2.48559856,3.47,0.310448474,10.78774514,2.0,5500.0,381.15
0,1.3101,9.510489164,1.625,12.13273414,21.99659141,6.9237372,29800.0,414.0,6.981359544,9.249605735,0.397592531,10.18228238,1.307692308,4300.0,578.15
0,-0.9762,56.25,1.75,0.0,18.14070064,0.0,14600.0,405.85,2.062948829,3.27,0.310448474,11.19589811,1.5,5500.0,384.0
0,-1.6681,44.62262067,1.727272727,0.0,19.49062283,0.0,18300.0,291.2,3.333204618,5.88,0.50083848,10.41839259,1.166666667,8881.7,362.62
0,-0.8985,10.16340014,1.75,0.0,51.38453491,0.0,8580.0,275.88,1.562948829,2.47,0.182880679,11.50093462,2.0,11900.0,447.8
0,-0.6378,10.16340014,1.75,7.047671983,51.38453491,7.047671983,9790.0,270.83,2.48559856,3.47,0.182880679,11.234357,2.0,11900.0,447.8
0,-0.2956,10.16340014,1.75,14.09534397,51.38453491,14.09534397,8680.0,211.7,3.432812155,4.47,0.182880679,10.98473093,1.6,11900.0,447.8
0,-0.8985,9.422132367,1.75,0.0,51.38453491,0.0,8580.0,275.88,1.562948829,2.47,0.325648814,11.50093462,2.0,10900.0,426.1
0,-0.6378,9.422132367,1.75,7.047671983,51.38453491,7.047671983,9790.0,270.83,2.48559856,3.47,0.325648814,11.234357,2.0,10900.0,426.1
0,-0.2956,9.422132367,1.75,14.09534397,51.38453491,14.09534397,8680.0,211.7,3.432812155,4.47,0.325648814,10.98473093,1.6,10900.0,426.1
0,-0.8985,12.65440812,1.75,0.0,56.4910623,0.0,8580.0,275.88,1.562948829,2.47,0.219305469,11.50093462,2.0,19720.0,582.3
0,4.6798,1.732031309,2.363636364,0.0,5.106527395,6.606881965,45810.0,311.7,10.63960175,14.96,0.652274036,10.05452583,0.533333333,19650.0,323.5
0,2.82402,15.96,1.058823529,6.066367068,5.106527395,0.0,19650.0,323.5,7.256614672,8.119800399,0.400968443,10.00823837,1.272727273,60960.0,324.4
0,2.82402,17.96,0.947368421,6.066367068,5.106527395,0.0,19650.0,323.5,7.256614672,8.119800399,0.329060871,10.00823837,1.272727273,65350.0,332.9
0,4.6798,2.193985627,2.363636364,0.0,5.106527395,6.606881965,45810.0,311.7,10.63960175,14.96,0.617949458,10.05452583,0.533333333,13740.0,314.6
0,2.4395,15.96,1.058823529,0.0,5.106527395,0.0,13740.0,314.6,7.877935016,9.051240876,0.400968443,9.754711402,1.272727273,60960.0,324.4
0,2.4395,17.96,0.947368421,0.0,5.106527395,0.0,13740.0,314.6,7.877935016,9.051240876,0.329060871,9.754711402,1.272727273,65350.0,332.9
0,2.4315,2.193985627,2.363636364,0.0,5.106527395,6.420821623,16960.0,291.3,6.882559623,8.565510984,0.617949458,9.860827748,1.272727273,13740.0,314.6
0,1.6513,2.193985627,2.363636364,0.0,5.106527395,0.0,10690.0,299.4,5.468346061,6.588063754,0.617949458,9.8952213,1.222222222,13740.0,314.6
0,2.4395,1.802305551,2.363636364,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.698372342,9.754711402,1.272727273,32700.0,321.1
0,2.4315,2.193985627,2.363636364,0.0,5.106527395,6.420821623,19800.0,288.2,6.598102573,9.47,0.617949458,10.12424329,1.2,13740.0,314.6
0,3.2117,2.193985627,2.363636364,0.0,5.106527395,6.420821623,27500.0,304.8,8.012316135,11.47,0.617949458,10.0883172,1.0,13740.0,314.6
0,2.4395,11.47,1.714285714,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.541252579,9.754711402,1.272727273,34690.0,317.5
0,2.4395,13.47,1.5,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.488350504,9.754711402,1.272727273,45750.0,327.0
0,2.4395,15.47,1.333333333,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.413489783,9.754711402,1.272727273,51020.0,336.8
0,2.4395,17.47,1.2,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.336041979,9.754711402,1.272727273,61360.0,344.04
0,2.4315,1.732031309,2.363636364,0.0,5.106527395,6.420821623,19800.0,288.2,6.598102573,9.47,0.652274036,10.12424329,1.2,19650.0,323.5
0,3.2117,1.732031309,2.363636364,0.0,5.106527395,6.420821623,27500.0,304.8,8.012316135,11.47,0.652274036,10.0883172,1.0,19650.0,323.5
0,3.9919,1.732031309,2.363636364,0.0,5.106527395,6.420821623,34690.0,317.5,9.426529698,13.47,0.652274036,10.06722392,0.857142857,19650.0,323.5
0,2.82402,13.47,1.5,6.066367068,9.901064579,0.0,19650.0,323.5,7.256614672,8.119800399,0.488350504,10.00823837,1.272727273,45750.0,327.0
0,2.82402,15.47,1.333333333,6.066367068,9.901064579,0.0,19650.0,323.5,7.256614672,8.119800399,0.413489783,10.00823837,1.272727273,51020.0,336.8
0,2.82402,17.47,1.2,6.066367068,9.901064579,0.0,19650.0,323.5,7.256614672,8.119800399,0.336041979,10.00823837,1.272727273,61360.0,344.04
0,2.4395,1.732031309,2.363636364,0.0,5.106527395,0.0,13740.0,314.6,7.877935016,9.051240876,0.652274036,9.754711402,1.272727273,19650.0,323.5
0,-3.6911,9.510489164,1.625,0.0,21.99659141,0.0,8588.0,362.62,6.621798575,9.46,0.397592531,10.66487739,1.6,4300.0,578.15
0,-2.6635,9.510489164,1.625,0.0,21.99659141,0.0,20974.0,358.88,6.467478199,8.5,0.397592531,10.71759565,1.555555556,4300.0,578.15
0,-0.9691,9.510489164,1.625,0.0,21.99659141,12.84164325,30900.0,472.98,8.530854483,11.25,0.397592531,10.27647583,1.181818182,4300.0,578.15
0,-1.2218,9.510489164,1.625,0.0,21.99659141,18.55355576,26130.0,405.4,7.589178704,10.44,0.397592531,10.31588838,1.090909091,4300.0,578.15
0,-1.5589,9.510489164,1.625,0.0,21.99659141,5.969305288,8880.0,362.62,7.625137334,13.01435984,0.397592531,10.53912527,1.454545455,4300.0,578.15
0,-2.9226,9.510489164,1.625,0.0,21.99659141,0.0,6720.0,442.0,7.31277766,11.94195458,0.397592531,10.34740692,1.333333333,4300.0,578.15
0,-2.6736,2.25,1.0,0.0,12.40703316,0.0,20490.0,612.87,5.581107015,9.537197232,0.313885693,10.77599502,0.833333333,10380.0,632.2
0,-1.1132,718.25,0.833333333,0.0,16.89006402,0.0,51240.0,535.4,8.409534139,12.88544536,0.297843772,10.3300357,0.7,20490.0,612.87
0,-1.1132,9.510489164,1.625,0.0,21.99659141,0.0,51240.0,535.4,8.409534139,12.88544536,0.397592531,10.3300357,0.7,4300.0,578.15
0,0.4472,718.25,0.833333333,0.0,16.89006402,0.0,66580.0,502.4,11.23796126,16.67149105,0.297843772,10.18500966,0.571428571,20490.0,612.87
0,0.4472,9.510489164,1.625,0.0,21.99659141,0.0,66580.0,502.4,11.23796126,16.67149105,0.397592531,10.18500966,0.571428571,4300.0,578.15
0,2.0076,9.510489164,1.625,0.0,21.99659141,0.0,14690.0,344.0,14.06638839,20.56526627,0.397592531,10.12017555,0.5,4300.0,578.15
0,1.3848,5.43,1.875,30.33183534,14.38409544,0.0,17730.0,342.0,4.742213232,5.820039012,0.410408618,10.2158578,1.222222222,17980.0,566.0
0,-1.7407,9.510489164,1.625,0.0,21.99659141,5.563451492,8730.0,351.42,9.5363923,13.43,0.397592531,10.17584071,1.142857143,4300.0,578.15
0,2.4315,2.193985627,2.363636364,0.0,5.106527395,6.420821623,16960.0,291.3,6.882559623,8.565510984,0.617949458,9.860827748,1.272727273,13740.0,314.6
0,2.4017,5.43,1.875,0.0,14.38409544,11.83581209,5900.0,448.15,7.606918903,7.326147454,0.410408618,9.704437479,1.363636364,17980.0,566.0
0,3.9919,3.387630632,2.133333333,0.0,9.901064579,6.420821623,34690.0,317.5,9.426529698,13.47,0.821599549,10.06722392,0.857142857,39500.0,350.4
0,3.9919,13.47,1.5,0.0,9.901064579,6.420821623,34690.0,317.5,9.426529698,13.47,0.488350504,10.06722392,0.857142857,45750.0,327.0
0,3.9919,15.47,1.333333333,0.0,9.901064579,6.420821623,34690.0,317.5,9.426529698,13.47,0.413489783,10.06722392,0.857142857,51020.0,336.8
0,3.9919,17.47,1.2,0.0,9.901064579,6.420821623,34690.0,317.5,9.426529698,13.47,0.336041979,10.06722392,0.857142857,61360.0,343.67
0,2.58374,0.604769179,2.181818182,0.0,4.794537184,5.687386275,16400.0,340.15,11.20883304,13.71389776,0.520631018,10.09969273,1.176470588,5900.0,448.15
0,2.4395,5.43,1.875,0.0,14.38409544,0.0,13740.0,314.6,7.877935016,9.051240876,0.410408618,9.754711402,1.272727273,17980.0,566.0
0,2.4395,3.387630632,2.133333333,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.821599549,9.754711402,1.272727273,39500.0,350.4
0,2.4395,1.775658963,2.666666667,0.0,9.901064579,0.0,13740.0,314.6,7.877935016,9.051240876,0.734229612,9.754711402,1.272727273,24860.0,424.15
0,4.7721,15.47,1.333333333,0.0,9.901064579,6.420821623,45750.0,327.0,10.84074326,15.47,0.413489783,10.05379892,0.75,51020.0,336.8
0,6.2402,5.43,1.875,0.0,14.38409544,6.606881965,65350.0,332.9,13.46802888,18.96,0.410408618,10.03868695,0.421052632,17980.0,566.0
0,6.1085,9.47,2.0,0.0,9.901064579,6.420821623,42990.0,289.4,13.40965736,19.21,0.57068315,10.07806935,0.75,27500.0,304.8
0,5.5523,3.387630632,2.133333333,0.0,9.901064579,6.420821623,51020.0,336.8,12.25495682,17.47,0.821599549,10.04473192,0.666666667,39500.0,350.4
0,5.5523,17.47,1.2,0.0,9.901064579,6.420821623,51020.0,336.8,12.25495682,17.47,0.336041979,10.04473192,0.666666667,61360.0,343.67
0,2.8216,11.47,1.714285714,0.0,9.901064579,6.420821623,19820.0,285.75,7.305209354,10.47,0.541252579,10.10370292,1.090909091,34690.0,317.5
0,1.0904,5.43,1.875,12.13273414,14.38409544,0.0,26100.0,431.0,5.112076558,6.60778563,0.410408618,10.18750536,1.3,17980.0,566.0
0,-3.5854,5.43,1.875,0.0,14.38409544,0.0,30200.0,369.6,6.406896212,11.76,0.410408618,10.04229365,0.666666667,17980.0,566.0
0,6.3325,5.43,1.875,0.0,14.38409544,6.420821623,61360.0,344.04,13.66917038,19.47,0.410408618,10.03832299,0.6,17980.0,566.0
0,2.82402,5.43,1.875,6.066367068,14.38409544,0.0,19650.0,323.5,7.256614672,8.119800399,0.410408618,10.00823837,1.272727273,17980.0,566.0
0,-0.9762,5.43,1.875,0.0,14.38409544,0.0,14600.0,405.85,2.062948829,3.27,0.410408618,11.19589811,1.5,17980.0,566.0
0,6.0629,4.129465428,1.0,0.0,62.03868747,0.0,22600.0,365.0,20.72997831,33.57238188,0.437005279,10.12017544,0.5625,14300.0,508.0
0,7.2332,4.129465428,1.0,0.0,62.03868747,0.0,25600.0,335.0,22.85129865,36.55622619,0.437005279,10.04346574,0.542857143,14300.0,508.0
0,1.7718,4.129465428,1.0,0.0,62.03868747,0.0,11300.0,383.0,12.95180371,22.6776465,0.437005279,10.5744786,0.80952381,14300.0,508.0
0,-0.6199,298.8887898,1.4,0.0,23.94722225,0.0,9862.0,481.0,6.738186518,8.928758967,0.170424257,,1.4,24860.0,524.0
0,0.3234,5.704344619,1.5,0.0,19.06280028,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.580732128,10.38048205,1.666666667,51320.0,251.63
0,0.3234,-104.04,1.0,0.0,5.476191836,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.327747677,10.38048205,1.666666667,5996.1,273.05
2,0.3992,0.428612059,2.0,0.0,14.26826309,0.0,11580.0,278.2,3.724744871,5.27,0.395310502,11.29924708,1.333333333,13020.0,311.2
1,0.7893,0.428612059,2.0,6.9237372,14.26826309,0.0,11240.0,219.4,4.431851653,6.27,0.395310502,10.87421423,1.714285714,13020.0,311.2
0,1.1794,0.428612059,2.0,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.395310502,10.84726048,1.25,13020.0,311.2
0,0.5417,0.428612059,2.0,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.395310502,10.45762829,1.857142857,13020.0,311.2
0,0.5417,1.575810398,1.666666667,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.403686926,10.45762829,1.857142857,11580.0,278.2
0,0.5417,3.090653873,2.428571429,6.9237372,14.26826309,0.0,8960.0,220.3,4.009201922,4.429489633,0.461163923,10.45762829,1.857142857,13020.0,311.2
0,1.1794,0.823939078,2.714285714,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.418614149,10.84726048,1.25,8960.0,220.3
2,0.3992,3.090653873,2.428571429,0.0,14.26826309,0.0,11580.0,278.2,3.724744871,5.27,0.461163923,11.29924708,1.333333333,13020.0,311.2
0,1.1794,1.575810398,1.666666667,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.403686926,10.84726048,1.25,11580.0,278.2
0,1.1794,3.090653873,2.428571429,13.8474744,14.26826309,0.0,9240.0,198.2,5.138958434,7.27,0.461163923,10.84726048,1.25,11240.0,219.4
0,-0.2477,4.129465428,1.0,7.047671983,62.03868747,13.97140918,10110.0,303.43,3.40824829,4.47,0.437005279,10.73311443,1.8,14300.0,508.0
0,-0.8247,298.8887898,1.4,0.0,23.94722225,0.0,5996.1,273.05,0.5,0.96,0.170424257,15.999,1.0,24860.0,524.0
0,-0.9762,4.129465428,1.0,0.0,62.03868747,0.0,14790.0,406.5,2.062948829,3.27,0.437005279,11.19589811,1.5,14300.0,508.0
0,-0.2477,298.8887898,1.4,7.047671983,23.94722225,13.97140918,10110.0,303.43,3.40824829,4.47,0.170424257,10.73311443,1.8,24860.0,524.0
2,0.2792,298.8887898,1.4,14.21959508,23.94722225,14.21959508,11367.0,215.0,4.230710143,5.92,0.170424257,10.78416581,1.0,24860.0,524.0
0,-0.0053,298.8887898,1.4,12.51153837,23.94722225,23.31110741,13500.0,291.0,3.632993162,4.15,0.170424257,11.91219609,1.5,24860.0,524.0
0,0.3234,298.8887898,1.4,0.0,23.94722225,6.420821623,9564.601,229.43,3.437816924,3.652815356,0.170424257,10.38048205,1.666666667,24860.0,524.0
0,0.2386,298.8887898,1.4,4.899909731,23.94722225,20.01325001,7327.5,249.41,4.47678223,4.624559505,0.170424257,10.38011002,1.714285714,24860.0,524.0
0,0.195,298.8887898,1.4,0.0,23.94722225,0.0,6898.9,287.96,4.869668577,5.093884892,0.170424257,10.39358405,1.0,24860.0,524.0
0,1.0337,298.8887898,1.4,0.0,23.94722225,21.32939262,12342.0,226.87,5.974633948,8.11,0.170424257,11.76680851,1.0,24860.0,524.0
2,0.3124,298.8887898,1.4,14.21959508,23.94722225,14.21959508,20911.7,229.06,7.875633849,11.84,0.170424257,10.67966781,0.583333333,24860.0,524.0
